Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
58,2.0,0.0,0.0,2237.0,18.0,29.0,4287.0,0.1,20.00800000000001,0.0,0.0,582.326785326004,,,,,,,,,,,,,,,,,,,,,7.8851306453375205,7.000816490359885,19.818949290917754,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,2324.0,19.0,87.0,4374.0,0.1,79.00700000000003,0.0,0.0,590.3784461021423,,,,,,,,,,,,,,,,,,,,,36.27451354378507,23.813333630220733,76.00304741347024,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,2393.0,20.0,69.0,4443.0,0.1,55.01299999999997,0.0,0.0,596.8795120716095,,,,,,,,,,,,,,,,,,,,,22.709056420036276,17.871813496370336,53.5531278095087,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,78.0,1.0,78.0,4521.0,0.1,61.01599999999996,0.0,0.0,804.9630904197693,,,,,,,,,,,,,,,,,,,,,24.5380413728734,19.845407137247385,59.220414381264014,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,134.0,2.0,56.0,4577.0,0.1,47.00799999999998,0.0,0.0,810.4544396400452,,,,,,,,,,,,,,,,,,,,,20.664202283754815,15.071493839382148,45.94264401750072,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,186.0,3.0,52.0,4629.0,0.1,43.00799999999998,0.0,0.0,815.4371769428253,,,,,,,,,,,,,,,,,,,,,18.756474760339877,13.918705367576116,42.11685490541826,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,341.0,4.0,155.0,4784.0,0.1,142.01200000000006,0.0,0.0,829.3736126422882,,,,,,,,,,,,,,,,,,,,,63.39375383807493,41.23927348096995,132.4507371787187,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,368.0,5.0,27.0,4811.0,0.1,20.006000000000007,0.0,0.0,832.2352261543274,,,,,,,,,,,,,,,,,,,,,8.467132067733255,6.90632091506694,19.8170016204104,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,601.0,6.0,233.0,5044.0,0.1,204.02800000000013,0.0,0.0,852.9120166301727,,,,,,,,,,,,,,,,,,,,,92.65325836873285,53.33735662286737,182.8052184317305,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,673.0,7.0,72.0,5116.0,0.1,61.00999999999998,0.0,0.0,859.859246969223,,,,,,,,,,,,,,,,,,,,,26.57681532533099,19.29566395400471,59.214839761258915,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,753.0,8.0,80.0,5196.0,0.1,72.00700000000003,0.0,0.0,867.2715106010437,,,,,,,,,,,,,,,,,,,,,32.96037135551207,21.90995397894248,69.50911902048098,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,1089.0,9.0,336.0,5532.0,0.1,327.0079999999998,0.0,0.0,896.9894721508026,,,,,,,,,,,,,,,,,,,,,144.4221135415718,82.80475702548523,279.0399707515644,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,1419.0,10.0,330.0,5862.0,0.1,322.00699999999983,0.0,0.0,926.0597167015076,,,,,,,,,,,,,,,,,,,,,142.87219519582504,81.41616571757625,275.4097196148881,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,1537.0,11.0,118.0,5980.0,0.1,109.00800000000004,0.0,0.0,936.7631821632385,,,,,,,,,,,,,,,,,,,,,49.90605055480186,31.98220871942873,103.32563397685315,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,1642.0,12.0,105.0,6085.0,0.1,96.00800000000004,0.0,0.0,946.5283303260803,,,,,,,,,,,,,,,,,,,,,43.84973244474922,28.554922871705145,91.58686022689491,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
